productName,quantity,price,category,reorderLevel
Wireless Mouse M101,120,499,Electronics,25
Mechanical Keyboard K87,75,2499,Electronics,15
USB-C Charger 20W,140,899,Electronics,30
Bluetooth Speaker Mini,60,1599,Electronics,12
Noise Cancelling Headphones H5,45,3999,Electronics,10
Smartphone Stand Foldable,180,299,Accessories,35
Laptop Sleeve 15 Inch,90,799,Accessories,20
Webcam HD 1080P,55,1899,Electronics,10
Portable SSD 500GB,35,4299,Electronics,8
LED Desk Lamp Pro,70,1299,Home,15
Office Chair Comfort Plus,18,6999,Furniture,5
Study Table Oak Finish,12,8499,Furniture,4
Water Bottle Steel 1L,160,399,Home,30
Ceramic Coffee Mug Classic,200,249,Home,40
Notebook A5 Ruled Pack,220,199,Stationery,50
Gel Pen Blue Pack of 10,260,149,Stationery,60
Marker Set Assorted 12pc,110,299,Stationery,25
Sticky Notes Neon Combo,300,99,Stationery,80
Backpack Urban 25L,65,1499,Bags,15
Travel Duffel Bag 40L,40,2199,Bags,10
Yoga Mat Anti Slip,85,999,Fitness,18
Resistance Bands Set,95,699,Fitness,20
Dumbbell 5kg Pair,30,1899,Fitness,8
Protein Shaker Bottle,150,349,Fitness,30
Running Shoes Men Size Mix,50,2999,Footwear,12
Casual Sneakers Women Size Mix,45,2799,Footwear,10
Cotton T-Shirt Basic Black,130,499,Clothing,25
Denim Jeans Slim Fit,70,1499,Clothing,15
Hoodie Fleece Grey,55,1799,Clothing,12
Rain Jacket Lightweight,35,1999,Clothing,8
Baby Diapers Medium Pack,100,899,Baby Care,20
Baby Wipes Aloe Vera,180,199,Baby Care,35
Shampoo Herbal 500ml,140,349,Personal Care,30
Face Wash Gentle 100ml,125,249,Personal Care,25
Body Lotion Cocoa 300ml,115,299,Personal Care,20
Hand Sanitizer 200ml,210,149,Personal Care,50
Dishwash Liquid Lemon 1L,175,189,Household,40
Laundry Detergent 2kg,95,459,Household,20
Floor Cleaner Lavender 1L,130,199,Household,25
Toilet Cleaner Power 500ml,160,129,Household,35
